country,refugees_from,refugees_to,Internally displaced persons,Refugees (incl. refugee-like situations),Returnees,Returned IDPs,Others of concern,Asylum-seekers,Stateless
Dem. Rep. of the Congo,37720136,40428200,21529538,8900594,658240,5669607,132738,829419,0
Namibia,35263,241777,0,25764,5982,0,77,3440,0
South Africa,66696,5310138,0,53406,7844,0,12,5434,0
Rwanda,13563584,3223987,946877,8407743,3364136,626100,26747,191981,0
Somalia,33553833,14823545,13961945,18215989,609933,132630,154190,479146,0
Uganda,7882986,14969131,4276840,648721,29610,2288513,590003,49299,0
Chad,3379511,6459004,1169985,1807828,115734,150386,84722,50856,0
Ghana,620795,1295525,174400,387147,1181,0,8,58059,0
Iran (Islamic Rep. of),2993588,50602358,0,2581488,13206,0,395,398499,0
Guatemala,1294605,755863,34550,581318,39585,0,6841,632311,0
Nicaragua,462960,60584,0,354509,45482,0,128,62839,2
El Salvador,1361585,82828,0,369509,16510,0,20819,954747,0
Angola,8473283,1592546,1040036,6275163,740852,13272,326963,76997,0
Zimbabwe,795700,1471535,172343,252139,337,0,571,370310,0
Sudan,37605629,33567213,21744504,13516980,969349,972478,15093,387225,0
Afghanistan,110072968,16693221,11267095,82737415,9504332,1169111,4221101,1173914,0
Lao People's Dem. Rep.,906161,3,0,875030,25126,0,1190,4815,0
Viet Nam,11017397,382543,0,10779658,105652,0,9902,35485,86700
Liberia,13198598,5796011,3123797,8427786,984937,592338,353,69386,1
Burundi,14939957,5974722,2968486,9594697,1167317,48144,978315,178276,4722
Central African Rep.,6952955,4857533,3048550,2739566,72925,976157,56845,58912,0
Cameroon,574733,2910935,291546,180070,543,36849,35,65690,0
Chile,143815,31943,0,135655,5272,0,0,2888,0
Iraq,57607792,33535244,26052358,23859553,2132126,2934810,231796,1067149,1330000
Lebanon,1329303,5497809,270000,330300,1632,680000,27,47344,0
Ethiopia,4871967,9390537,0,3998692,263182,0,12495,597598,0
Argentina,21055,172620,0,13378,22,0,0,7655,0
Benin,12391,549193,0,5845,10,0,13,6523,0
Bangladesh,1498211,3890100,0,487573,29963,0,56,180619,800000
Bulgaria,84909,161950,0,73283,2,0,2,11622,0
Bahrain,4237,4482,0,3439,20,0,15,763,0
Bolivia (Plurinational State of),14109,15745,0,9222,5,0,0,4882,0
Brazil,29762,312895,0,14206,9,0,0,15347,200
Botswana,2826,69510,0,1476,3,0,0,1347,0
China,4076304,8016767,0,3642187,3857,0,6,430254,0
Comoros,7267,449,0,4638,1,0,0,2628,0
Cuba,473873,37597,0,435457,598,0,199,37619,0
Czech Rep.,77431,120296,0,67305,6,0,0,7116,3004
Algeria,222239,3938826,0,173026,115,0,51,49047,0
Honduras,492764,836332,348000,46840,71,0,14038,83813,2
Hungary,102163,375395,0,69026,9,0,9,32111,1008
Indonesia,476498,745028,0,388987,3266,0,32584,51661,0
India,483675,5436876,0,292247,28,0,2728,188672,0
Israel,32839,389490,0,21216,6,0,0,11571,46
Jordan,49156,5997950,0,33310,69,0,399,15351,27
Kenya,2884144,11951695,1815000,160175,7818,351000,37,70114,480000
Cambodia,1134940,246849,203206,826202,61400,37899,4,6229,0
Kuwait,918336,2445671,0,19281,0,0,0,2969,896086
Libya,2505452,2629102,1179015,55537,150015,1090689,16,30180,0
Sri Lanka,12274559,8572183,7349687,3476993,84882,1212955,69,149973,0
Lesotho,3887,933,0,224,5,0,0,3658,0
Morocco,64968,46476,0,38060,1,0,48,26851,8
Myanmar,16226700,11694771,2666590,6507768,249347,53994,7199,441556,6300246
Mauritania,1385047,1159907,0,1284422,50862,0,9,49754,0
Pakistan,14042653,62555221,7931795,1206139,3515,4517298,29,383877,0
Peru,176474,34299,0,136508,163,0,0,39803,0
Poland,284555,276376,0,251718,1,0,1,7733,25102
Romania,319632,45404,0,293883,375,0,7,22387,2980
Russian Federation,13784187,12967141,4189485,3318410,1076,252687,4838885,312456,871188
Serbia and Kosovo (S/RES/1244 (1999)),10395156,12547938,4480098,3572713,1019653,201075,645188,412984,63445
Syrian Arab Rep.,51018590,40340701,29059240,17730425,209750,600000,49167,658008,2712000
Togo,1220432,335884,3000,857073,301586,9000,0,49773,0
Thailand,9079709,13772772,0,13224,3,0,14,5372,9061096
Tunisia,55965,164127,0,39545,17,0,30,16373,0
Turkey,2789946,9097898,0,2597265,2880,0,80,181128,8593
Uruguay,7424,5010,0,5132,26,0,0,2266,0
Yemen,8050063,11238278,6578408,70778,1153,1360522,40,39162,0
Haiti,773301,3360,0,468433,10228,0,76330,218310,0
Colombia,62697507,57017888,57009095,4204209,3046,0,1031036,450023,98
Cyprus,1590676,1737958,1590000,200,391,0,0,84,1
Djibouti,84914,785237,0,80262,460,0,5,4187,0
Egypt,235751,2312138,0,162916,21,0,231,71892,691
Gambia,106900,239055,0,50037,7,0,0,56856,0
Grenada,5490,7,0,3727,0,0,0,1763,0
Guyana,14680,65,0,8374,0,0,0,6306,0
Malta,262,86523,0,225,0,0,0,37,0
Mozambique,6866190,191291,15128,5613086,1223662,0,0,14314,0
Malawi,53569,4984689,0,3425,63,0,0,50081,0
Nigeria,7403256,6467483,5579822,752955,8123,689906,70039,302411,0
Sierra Leone,9551836,5728913,4763200,4007274,486356,200000,15965,79041,0
Seychelles,2168,0,0,1958,7,0,0,203,0
United Rep. of Tanzania,382005,14873456,0,17166,2089,0,332714,30036,0
Zambia,13687,3895854,0,7146,2049,0,1,4491,0
Suriname,26895,227,0,21207,5213,0,0,475,0
