country,origin_total_applied,origin_recognized,origin_decisions_other,origin_rejected,origin_otherwise_closed,origin_total_decisions,in_country_total_applied,in_country_recognized,in_country_decisions_other,in_country_rejected,in_country_otherwise_closed,in_country_total_decisions
Afghanistan,1579358,239198,144049,432161,444481,1260010,814,249,1,243,212,708
Angola,74216,11717,10141,46683,10473,79062,19972,2250,9,1493,4032,7784
Albania,217021,14660,6090,157073,48336,226188,3932,158,80,64,957,1268
Andorra,22,6,1,12,7,26,0,0,0,0,0,0
United Arab Emirates,551,120,6,126,114,367,3700,2433,29,468,512,3442
Argentina,7872,510,10,5081,3012,8615,12526,1913,36,5765,3670,11427
Armenia,140037,14471,5282,94034,27321,141162,3454,1103,888,390,955,3353
Antigua and Barbuda,332,95,0,173,45,314,16,16,0,0,1,17
Australia,241,13,5,123,95,236,225244,57651,0,134947,11625,204378
Austria,155,6,0,64,70,140,439303,82464,21248,125759,158505,388125
Azerbaijan,67506,9789,3792,46603,14743,74970,17323,2981,532,4229,9861,17616
Burundi,113091,36029,5906,23164,26902,92087,94812,48595,355,12168,30564,91687
Belgium,324,63,7,153,197,424,470815,65964,15035,194487,42662,318330
Benin,7156,310,258,4114,1429,6146,11649,4651,0,7875,2693,15223
Burkina Faso,15352,1469,1004,7634,2948,13092,2012,461,14,376,1463,2314
Bangladesh,269505,14164,7285,173677,50380,245562,523,257,0,169,127,553
Bulgaria,27490,1943,129,14160,10440,26692,75237,11716,9934,8427,29049,59152
Bahrain,991,497,9,337,166,1024,711,405,55,24,118,602
Bahamas,600,137,3,232,145,520,642,33,1,443,19,496
Bosnia and Herzegovina,106295,6402,12044,80024,33573,132069,3844,393,74,1576,1785,3831
Belarus,38507,4899,913,22112,11804,39805,5608,480,2116,1481,1831,5931
Belize,520,53,0,204,210,469,3081,37,5,58,262,362
Bolivia,6149,565,194,5560,1347,7684,659,218,11,175,254,664
Brazil,11928,1008,112,4083,6209,11421,51964,7103,920,6133,5116,19334
Barbados,612,167,0,291,120,580,2,1,0,0,1,2
Brunei Darussalam,11,1,1,3,4,9,0,0,0,0,0,0
