Country,Origin,Resettlers
Australia,Afghanistan,23629
Canada,Afghanistan,43435
Denmark,Afghanistan,966
Finland,Afghanistan,2606
Ireland,Afghanistan,61
Netherlands,Afghanistan,103
New Zealand,Afghanistan,2002
Norway,Afghanistan,3042
Sweden,Afghanistan,4802
United States,Afghanistan,46125
Australia,Albania,99
Canada,Albania,338
Netherlands,Albania,1
Sweden,Albania,7
United States,Albania,3733
Australia,Algeria,90
Benin,Algeria,1
Canada,Algeria,172
Denmark,Algeria,25
Netherlands,Algeria,1
New Zealand,Algeria,7
Norway,Algeria,26
Sweden,Algeria,8
United States,Algeria,111
Canada,Andorra,1
Australia,Angola,6
Canada,Angola,1374
Central African Rep.,Angola,2
Denmark,Angola,13
France,Angola,4
Netherlands,Angola,7
Norway,Angola,5
South Africa,Angola,2
Sweden,Angola,21
United States,Angola,716
Australia,Argentina,6
Canada,Argentina,290
Chile,Argentina,1
Denmark,Argentina,66
Netherlands,Argentina,55
United States,Argentina,11
Australia,Armenia,41
Austria,Armenia,1
Canada,Armenia,34
Finland,Armenia,4
New Zealand,Armenia,6
Sweden,Armenia,10
United States,Armenia,634
Australia,Australia,2
Canada,Australia,3
Australia,Austria,19
Canada,Austria,131
United States,Austria,1
Australia,Azerbaijan,38
Canada,Azerbaijan,157
Czech Rep.,Azerbaijan,5
Denmark,Azerbaijan,5
Netherlands,Azerbaijan,29
Norway,Azerbaijan,38
Sweden,Azerbaijan,11
United States,Azerbaijan,2461
Australia,Bahrain,9
Canada,Bahrain,15
Denmark,Bahrain,6
Sweden,Bahrain,1
Australia,Bangladesh,514
Canada,Bangladesh,74
Mexico,Bangladesh,4
New Zealand,Bangladesh,15
Norway,Bangladesh,8
Sweden,Bangladesh,3
United States,Bangladesh,11
Canada,Barbados,2
Australia,Belarus,51
Canada,Belarus,16
Netherlands,Belarus,1
Norway,Belarus,1
Sweden,Belarus,3
United States,Belarus,6018
Australia,Belgium,6
Canada,Belgium,15
Norway,Belgium,2
United States,Belgium,85
Canada,Belize,8
Australia,Benin,15
Canada,Benin,20
Norway,Benin,3
United States,Benin,2
Canada,Bermuda,1
Australia,Bhutan,4055
Canada,Bhutan,6607
Denmark,Bhutan,499
Netherlands,Bhutan,186
New Zealand,Bhutan,986
Norway,Bhutan,552
Sweden,Bhutan,2
United States,Bhutan,89588
Canada,Bolivia,29
Denmark,Bolivia,20
Australia,Bosnia and Herzegovina,8550
Canada,Bosnia and Herzegovina,28226
Denmark,Bosnia and Herzegovina,7627
Ireland,Bosnia and Herzegovina,650
Netherlands,Bosnia and Herzegovina,31
New Zealand,Bosnia and Herzegovina,146
Norway,Bosnia and Herzegovina,3054
Sweden,Bosnia and Herzegovina,8954
United States,Bosnia and Herzegovina,145278
Australia,Botswana,20
Canada,Botswana,28
Australia,Brazil,28
Canada,Brazil,5
Denmark,Brazil,6
Netherlands,Brazil,35
New Zealand,Brazil,6
Sweden,Brazil,4
Canada,Brunei Darussalam,1
Australia,Bulgaria,17
Canada,Bulgaria,792
Sweden,Bulgaria,2
United States,Bulgaria,2143
Canada,Burkina Faso,11
United States,Burkina Faso,8
Australia,Burundi,2615
Benin,Burundi,27
Canada,Burundi,4001
Denmark,Burundi,116
Finland,Burundi,28
Netherlands,Burundi,240
New Zealand,Burundi,207
Norway,Burundi,470
Sweden,Burundi,122
United States,Burundi,12596
Australia,Ivory Coast,385
Canada,Ivory Coast,521
Denmark,Ivory Coast,16
Finland,Ivory Coast,15
France,Ivory Coast,13
Netherlands,Ivory Coast,9
Norway,Ivory Coast,13
Portugal,Ivory Coast,8
Sweden,Ivory Coast,32
United States,Ivory Coast,312
Norway,Cabo Verde,3
Australia,Cambodia,2063
Canada,Cambodia,20497
Denmark,Cambodia,40
Finland,Cambodia,44
Japan,Cambodia,45
Netherlands,Cambodia,151
New Zealand,Cambodia,4675
Norway,Cambodia,97
Sweden,Cambodia,25
United States,Cambodia,88544
Australia,Cameroon,63
Canada,Cameroon,81
Denmark,Cameroon,5
Ireland,Cameroon,1
Netherlands,Cameroon,1
Norway,Cameroon,9
Portugal,Cameroon,1
Sweden,Cameroon,6
United States,Cameroon,161
United States,Canada,1
Australia,Central African Rep.,14
Canada,Central African Rep.,816
Denmark,Central African Rep.,25
Finland,Central African Rep.,1
France,Central African Rep.,8
Netherlands,Central African Rep.,3
Norway,Central African Rep.,4
Sweden,Central African Rep.,61
United States,Central African Rep.,1727
Australia,Chad,21
Benin,Chad,35
Burkina Faso,Chad,1
Canada,Chad,158
Denmark,Chad,10
Finland,Chad,1
France,Chad,1
Norway,Chad,8
Sweden,Chad,8
United States,Chad,297
Canada,Chile,7657
Denmark,Chile,43
Netherlands,Chile,545
Norway,Chile,2
Sweden,Chile,1066
Australia,China,2665
Canada,China,714
Czech Rep.,China,4
Denmark,China,69
Finland,China,38
Netherlands,China,85
New Zealand,China,101
Norway,China,72
Sweden,China,187
United States,China,664
Australia,Hong Kong,46
Canada,Hong Kong,275
Argentina,Colombia,218
Australia,Colombia,141
Brazil,Colombia,484
Canada,Colombia,15814
Chile,Colombia,185
Denmark,Colombia,333
Netherlands,Colombia,185
New Zealand,Colombia,674
Sweden,Colombia,1924
United States,Colombia,3278
Canada,Comoros,3
Denmark,Comoros,1
Australia,Congo,1073
Canada,Congo,308
Denmark,Congo,138
Finland,Congo,34
France,Congo,12
Netherlands,Congo,189
New Zealand,Congo,110
Norway,Congo,470
Sweden,Congo,218
United States,Congo,1494
Argentina,Costa Rica,1
Australia,Costa Rica,1
Canada,Costa Rica,213
Chile,Costa Rica,3
Sweden,Costa Rica,38
United States,Costa Rica,3
Australia,Croatia,6708
Canada,Croatia,5450
Finland,Croatia,150
Iceland,Croatia,23
Netherlands,Croatia,440
Norway,Croatia,267
Sweden,Croatia,7
United States,Croatia,6360
Australia,Cuba,46
Brazil,Cuba,2
Canada,Cuba,164
Denmark,Cuba,4
Finland,Cuba,5
Ireland,Cuba,16
Netherlands,Cuba,17
Norway,Cuba,3
Sweden,Cuba,31
United States,Cuba,94633
Australia,Cyprus,9
Canada,Cyprus,19
Australia,Czech Rep.,6
Canada,Czech Rep.,23520
Denmark,Czech Rep.,5
New Zealand,Czech Rep.,47
Sweden,Czech Rep.,63
United States,Czech Rep.,8693
Canada,North Korea,2
Finland,North Korea,2
Norway,North Korea,3
United States,North Korea,204
Australia,Dem. Rep. of the Congo,4372
Canada,Dem. Rep. of the Congo,12360
Denmark,Dem. Rep. of the Congo,1628
Finland,Dem. Rep. of the Congo,1467
Ireland,Dem. Rep. of the Congo,206
Netherlands,Dem. Rep. of the Congo,534
New Zealand,Dem. Rep. of the Congo,229
Norway,Dem. Rep. of the Congo,1446
Sweden,Dem. Rep. of the Congo,1400
United States,Dem. Rep. of the Congo,49225
Canada,Denmark,36
Australia,Djibouti,31
Canada,Djibouti,59
Denmark,Djibouti,2
New Zealand,Djibouti,52
Norway,Djibouti,1
Sweden,Djibouti,1
United States,Djibouti,50
Canada,Dominican Rep.,2
Argentina,Ecuador,6
Australia,Ecuador,9
Brazil,Ecuador,25
Canada,Ecuador,218
Denmark,Ecuador,12
New Zealand,Ecuador,85
Norway,Ecuador,10
Sweden,Ecuador,49
United States,Ecuador,37
Uruguay,Ecuador,7
Australia,Egypt,1815
Canada,Egypt,2125
Denmark,Egypt,3
Ireland,Egypt,5
Netherlands,Egypt,1
New Zealand,Egypt,8
Norway,Egypt,20
Sweden,Egypt,31
United States,Egypt,137
Argentina,El Salvador,10
Australia,El Salvador,1242
Canada,El Salvador,23462
Chile,El Salvador,3
Guatemala,El Salvador,1
New Zealand,El Salvador,22
Nicaragua,El Salvador,3
Norway,El Salvador,65
Sweden,El Salvador,1267
United States,El Salvador,924
Benin,Equatorial Guinea,11
Canada,Equatorial Guinea,12
Norway,Equatorial Guinea,1
Sweden,Equatorial Guinea,26
United States,Equatorial Guinea,70
Australia,Eritrea,3562
Canada,Eritrea,13852
Denmark,Eritrea,123
Finland,Eritrea,131
Germany,Eritrea,256
Netherlands,Eritrea,530
New Zealand,Eritrea,368
Norway,Eritrea,1438
Sweden,Eritrea,2286
United States,Eritrea,17196
Canada,Estonia,79
Denmark,Estonia,7
United States,Estonia,307
Australia,Ethiopia,7087
Canada,Ethiopia,26590
Denmark,Ethiopia,199
Finland,Ethiopia,58
Germany,Ethiopia,72
Netherlands,Ethiopia,581
New Zealand,Ethiopia,1039
Norway,Ethiopia,687
Sweden,Ethiopia,896
United States,Ethiopia,49884
Australia,Fiji,409
Canada,Fiji,3
New Zealand,Fiji,12
Canada,Finland,5
Australia,France,35
Canada,France,87
United States,France,1
Australia,French Polynesia,1
Canada,Gabon,4
United States,Gabon,10
Australia,Gambia,9
Canada,Gambia,44
Netherlands,Gambia,4
Sweden,Gambia,16
United States,Gambia,178
Australia,Georgia,31
Canada,Georgia,60
Finland,Georgia,3
Sweden,Georgia,9
United States,Georgia,335
Australia,Germany,71
Canada,Germany,1877
United States,Germany,1
Australia,Ghana,230
Canada,Ghana,194
Norway,Ghana,2
Philippines,Ghana,1
Sweden,Ghana,1
United States,Ghana,30
Australia,Greece,27
Canada,Greece,341
Argentina,Guatemala,1
Australia,Guatemala,14
Brazil,Guatemala,2
Canada,Guatemala,5348
Mexico,Guatemala,1
New Zealand,Guatemala,4
Sweden,Guatemala,58
United States,Guatemala,29
Australia,Guinea,466
Canada,Guinea,32
France,Guinea,1
